"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","timeline"
"@GOPLeader Vote against the democrats or continue to lose money, buying power, freedoms. Demon rats only throw OUR… https://t.co/ejRerLV3qy",FALSE,0,"GOPLeader",2022-10-27 23:59:59,TRUE,"1585679308626034694","1585783398508814336","19739126","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PatRiot25252525",0,FALSE,FALSE,,,"before"
"RT @Kamiyo_A: So Florida flood is a natural disaster and caused by climate change. 
                           BUT
Nigeria flood is Govt is…",FALSE,0,,2022-10-27 23:59:58,FALSE,,"1585783396286230529",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nattoye",309,TRUE,FALSE,,,"before"
"Damn, there is a whole ass 'Actually, the US DID win WWII' troll farm, now? Every post discussing the accomplishmen… https://t.co/vsfLJ1yzVg",FALSE,0,,2022-10-27 23:59:58,TRUE,,"1585783393156927488",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Hanksingler",0,FALSE,FALSE,,,"before"
"RT @cowhouse: @RepGregMurphy @HouseGOP The other day you said economic disaster in the stock market 401(k) is down . Third quarter numbers…",FALSE,0,,2022-10-27 23:59:56,FALSE,,"1585783385976455168",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ki04276",1,TRUE,FALSE,,,"before"
"RT @AndrewRemainEU: @NileGardiner Hmmmm; still waiting to hear from ANY Brexquitter a single example of “very well” Nile. Although disaster…",FALSE,0,,2022-10-27 23:59:51,FALSE,,"1585783365231292416",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tarkus12",4,TRUE,FALSE,,,"before"
"@SenSchumer Vote against the democrats or continue to lose money, buying power, freedoms. Demon rats only throw OUR… https://t.co/ytan1W7Lf7",FALSE,0,"SenSchumer",2022-10-27 23:59:49,TRUE,"1585645188029915144","1585783356800712704","17494010","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PatRiot25252525",0,FALSE,FALSE,,,"before"
"@RapSheet The disaster he created us unprecedented! #firehackett",FALSE,0,"RapSheet",2022-10-27 23:59:47,FALSE,"1585771278216175621","1585783348055912448","16403943","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Anuwrld",0,FALSE,FALSE,,,"before"
"RT @SaharaReporters: Flooding: Bayelsa Knocks Nigerian Ministry Of Humanitarian And Disaster Management For Lying Over Supply Of Food Mater…",FALSE,0,,2022-10-27 23:59:39,FALSE,,"1585783315612815363",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","charityiwezulu",830,TRUE,FALSE,,,"before"
"RT @Kamiyo_A: So Florida flood is a natural disaster and caused by climate change. 
                           BUT
Nigeria flood is Govt is…",FALSE,0,,2022-10-27 23:59:34,FALSE,,"1585783293383151617",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mansherry_YOMI",309,TRUE,FALSE,,,"before"
"RT @RyanMaue: Article on ""climate intel"" companies using ""garbage models"" to inform public policy. One in particular is dragged for their o…",FALSE,0,,2022-10-27 23:59:33,FALSE,,"1585783290275205120",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aneffsaneff",21,TRUE,FALSE,,,"before"
"We'll unleash disaster
With our dull axes and knives
Choose some hapless bastards
And slash away the night!",FALSE,0,,2022-10-27 23:59:30,FALSE,,"1585783279407443968",,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","VivaLaSangre",0,FALSE,FALSE,,,"before"
"RT @CasandraLGarcia: As a lifelong South Texan and the wife of a Border Patrol agent, I don't like what I see in DC.

The Biden-Pelosi-Cuel…",FALSE,0,,2022-10-27 23:59:29,FALSE,,"1585783272096862218",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Biggyrat3",221,TRUE,FALSE,,,"before"
"@ACTBrigitte Vote against the democrats or continue to lose money, buying power, freedoms. Demon rats only throw OU… https://t.co/jGke9FecCZ",FALSE,0,"ACTBrigitte",2022-10-27 23:59:25,TRUE,"1585732325366591488","1585783255059398656","722528529716383744","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PatRiot25252525",0,FALSE,FALSE,,,"before"
"RT @privacytoolsIO: Some good news today. Meta's value has plunged by $700 billion. Wall Street calls it a ""train wreck."" Facebook parent M…",FALSE,0,,2022-10-27 23:59:16,FALSE,,"1585783220045754370",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","k3ym0",32,TRUE,FALSE,,,"before"
"RT @targirl81: @JoshShapiroPA @students4shaps @Pitt4Shapiro Why do you love criminals &amp; hate the victims? You’ve been a disaster as a DA…Go…",FALSE,0,,2022-10-27 23:59:11,FALSE,,"1585783198293729281",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Magman0153",1,TRUE,FALSE,,,"before"
"Only 6 more days until they raise the rates again to help fix the disaster @POTUS has made. He's like a two year ol… https://t.co/JkYOtctGNW",FALSE,1,,2022-10-27 23:59:10,TRUE,,"1585783195542654977",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FailureBuilds",0,FALSE,FALSE,,,"before"
"@quaski The prob is not him playing at nickel. The problem is it was his first game back and he has one good hand a… https://t.co/Wx7TikEqU4",FALSE,0,"quaski",2022-10-27 23:59:08,TRUE,"1585649215518216192","1585783187132686336","2319658416","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GourlieMatt",0,FALSE,FALSE,,,"before"
"RT @marklevinshow: Obama going to Pennsylvania to campaign for Fetterman. Good!  He’s a proven disaster.
https://t.co/weVNCZBH1H",FALSE,0,,2022-10-27 23:59:07,FALSE,,"1585783180048699393",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KamiloTapiya",537,TRUE,FALSE,,,"before"
"@BrianWPeterson You are the second person I know like this. Both are men. I made the mistake of buying Reese's Chri… https://t.co/DHPi8AOyrA",FALSE,1,"BrianWPeterson",2022-10-27 23:59:04,TRUE,"1585749253972008961","1585783167247523840","20026128","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UCF_Girl_99",0,FALSE,FALSE,,,"before"
"RT @RBReich: Peter Thiel is the Citizens United disaster personified.
 
He's poured nearly $30 million into the midterms.
 
Most of those f…",FALSE,0,,2022-10-27 23:59:03,FALSE,,"1585783165305487360",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MuraliLevine",5059,TRUE,FALSE,,,"before"
"Please get Patty Mills off of Luka Doncic. Disaster",FALSE,0,,2022-10-27 23:59:01,FALSE,,"1585783154668961792",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eddiexhayes",0,FALSE,FALSE,,,"before"
