"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","timeline"
"RT @aespabbl: w korea IG update https://t.co/7SsvZdJ4jb",FALSE,0,,2022-10-28 23:59:59,FALSE,,"1586145787855372289",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","douublep",906,TRUE,FALSE,,,"before"
"RT @jaybcharts: Check out DAZED KOREA's video! 

#TikTok @jaybnow_hr #Jaebeom #JAYB #제이비 @GOT7 @cdnzarecords 
https://t.co/3eugEsjd3g",FALSE,0,,2022-10-28 23:59:59,FALSE,,"1586145787674652672",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AlphabunnieW",36,TRUE,FALSE,,,"before"
"RT @ZER0XBLACK: Love Your W 2022 Red Carpet &amp; Mini Interview by W Korea 기사 사진 (1)
#BTS #방탄소년단 @BTS_twt https://t.co/1D5huX2THm",FALSE,0,,2022-10-28 23:59:59,FALSE,,"1586145786672254976",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Chocolate5milk_",48615,TRUE,FALSE,,,"before"
"RT @verritaee: W Korea Instagram Update
https://t.co/b7kboo5wey

#BTS #방탄소년단 @BTS_twt https://t.co/YeIgN28Vyn",FALSE,0,,2022-10-28 23:59:59,FALSE,,"1586145785569480704",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MisterySnow",345,TRUE,FALSE,,,"before"
"RT @aespabbl: w korea IG update https://t.co/eBdOfFmojc",FALSE,0,,2022-10-28 23:59:58,FALSE,,"1586145785028444162",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","camilasdreamers",392,TRUE,FALSE,,,"before"
"RT @Brillante_Mon: 221028 W korea preview
#방탄소년단 #BTS #알엠 #RM #김남준 @BTS_twt

🫠 https://t.co/KXps2hPo17",FALSE,0,,2022-10-28 23:59:58,FALSE,,"1586145783027757056",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","79esl",1329,TRUE,FALSE,,,"before"
"RT @NewJeans_NEWS: [VIDEO] 221028 — BTS 'Namjoon' reaction to NewJeans 'Attention' at W Korea Halloween Party's today!

#NewJeans #뉴진스 http…",FALSE,0,,2022-10-28 23:59:56,FALSE,,"1586145775914213378",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kookvely_901",5067,TRUE,FALSE,,,"before"
"RT @newtannies: Newjeans Hyein, reveals in a recent interview with Vogue Korea that lately she’s been obsessed with “The Astronaut“ by Jin…",FALSE,0,,2022-10-28 23:59:56,FALSE,,"1586145775213387776",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Neouillegirl",3222,TRUE,FALSE,,,"before"
"RT @itsbtszone: korea's pride. 

https://t.co/PbkLTuEl2w",FALSE,0,,2022-10-28 23:59:54,FALSE,,"1586145766170513408",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RamYeonCaffeine",13531,TRUE,FALSE,,,"before"
"RT @Azeb06100830: The only d/c b/n North Korea, Russia, &amp; Ethiopia is that the latter relies on foreign countries to fully supply its weapo…",FALSE,0,,2022-10-28 23:59:53,FALSE,,"1586145760202350593",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KalebGebremar20",399,TRUE,FALSE,,,"before"
