"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","timeline"
"RT @aespabbl: w korea IG update https://t.co/7SsvZdJ4jb",FALSE,0,"","2022-10-28 23:59:59",FALSE,,1586145787855372288,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","douublep",906,TRUE,FALSE,127.963276545664,37.2804588905095,"before"
"RT @jaybcharts: Check out DAZED KOREA's video! 

#TikTok @jaybnow_hr #Jaebeom #JAYB #제이비 @GOT7 @cdnzarecords 
https://t.co/3eugEsjd3g",FALSE,0,"","2022-10-28 23:59:59",FALSE,,1586145787674652672,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AlphabunnieW",36,TRUE,FALSE,127.62142040353,37.55776292596,"before"
"RT @ZER0XBLACK: Love Your W 2022 Red Carpet &amp; Mini Interview by W Korea 기사 사진 (1)
#BTS #방탄소년단 @BTS_twt https://t.co/1D5huX2THm",FALSE,0,"","2022-10-28 23:59:59",FALSE,,1586145786672254976,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Chocolate5milk_",48615,TRUE,FALSE,127.746051685596,37.5602927553019,"before"
"RT @verritaee: W Korea Instagram Update
https://t.co/b7kboo5wey

#BTS #방탄소년단 @BTS_twt https://t.co/YeIgN28Vyn",FALSE,0,"","2022-10-28 23:59:59",FALSE,,1586145785569480704,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MisterySnow",345,TRUE,FALSE,127.277287444393,37.5934973166895,"before"
"RT @aespabbl: w korea IG update https://t.co/eBdOfFmojc",FALSE,0,"","2022-10-28 23:59:58",FALSE,,1586145785028444160,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","camilasdreamers",392,TRUE,FALSE,127.100484471095,37.6708783281728,"before"
"RT @Brillante_Mon: 221028 W korea preview
#방탄소년단 #BTS #알엠 #RM #김남준 @BTS_twt

🫠 https://t.co/KXps2hPo17",FALSE,0,"","2022-10-28 23:59:58",FALSE,,1586145783027757056,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","79esl",1329,TRUE,FALSE,126.967857286909,37.4983524292543,"before"
"RT @NewJeans_NEWS: [VIDEO] 221028 — BTS 'Namjoon' reaction to NewJeans 'Attention' at W Korea Halloween Party's today!

#NewJeans #뉴진스 http…",FALSE,0,"","2022-10-28 23:59:56",FALSE,,1586145775914213376,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kookvely_901",5067,TRUE,FALSE,127.586214279565,37.361195307671,"before"
"RT @newtannies: Newjeans Hyein, reveals in a recent interview with Vogue Korea that lately she’s been obsessed with “The Astronaut“ by Jin…",FALSE,0,"","2022-10-28 23:59:56",FALSE,,1586145775213387776,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Neouillegirl",3222,TRUE,FALSE,127.325927040528,36.7527273899954,"before"
"RT @itsbtszone: korea's pride. 

https://t.co/PbkLTuEl2w",FALSE,0,"","2022-10-28 23:59:54",FALSE,,1586145766170513408,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RamYeonCaffeine",13531,TRUE,FALSE,126.753508939401,37.2260303667143,"before"
"RT @Azeb06100830: The only d/c b/n North Korea, Russia, &amp; Ethiopia is that the latter relies on foreign countries to fully supply its weapo…",FALSE,0,"","2022-10-28 23:59:53",FALSE,,1586145760202350592,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KalebGebremar20",399,TRUE,FALSE,127.234349829731,36.576240976996,"before"
"RT @Koo_Picasso: 🐹this is something I cannot leave out. This is about my enlistment. Now I gotta finish this Argentina (concert) and go bac…",FALSE,0,"","2022-10-28 23:59:52",FALSE,,1586145758457188352,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anarion_",9019,TRUE,FALSE,128.145120613291,36.7233727577047,"before"
"RT @itsbtszone: korea's pride. 

https://t.co/PbkLTuEl2w",FALSE,0,"","2022-10-28 23:59:52",FALSE,,1586145757429518336,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yellowbts1",13531,TRUE,FALSE,127.211780457483,37.1619543308764,"before"
"RT @WORLDMUSICAWARD: #BTS’ #Jin makes Hot New Entry at #1 on the #Circle Retail Album chart in Korea this week with his new Album #TheAstro…",FALSE,0,"","2022-10-28 23:59:52",FALSE,,1586145757157281792,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MyAprilChild",3843,TRUE,FALSE,126.620249068851,37.8533488637297,"before"
"RT @charts_k: .@BTS_twt Jin's ""The Astronaut"" MV is trending at #1 on YouTube worldwide, including in the US and South Korea!

https://t.co…",FALSE,0,"","2022-10-28 23:59:50",FALSE,,1586145749099651072,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hob1uvr",4739,TRUE,FALSE,127.144443543593,36.6914322831049,"before"
"RT @AureliaOT7: From W Korea IG [cut to Hobi &amp; Joon only]
#JHope #RM #Namjoon #Hobi #BTS https://t.co/r8o7JjLMtY",FALSE,0,"","2022-10-28 23:59:50",FALSE,,1586145748403752960,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kokospick",577,TRUE,FALSE,126.854786556032,37.3904538443865,"before"
"RT @itsbtszone: korea's pride. 

https://t.co/PbkLTuEl2w",FALSE,0,"","2022-10-28 23:59:48",FALSE,,1586145743072477184,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kkyumin95",13531,TRUE,FALSE,128.154092851703,37.2773763193585,"before"
"RT @Jinyoung_Loop: 35.""Isn't BB too cute? Please do a lot of activities, I want to see you on other shows!!""

36.""I hope BB appears in othe…",FALSE,0,"","2022-10-28 23:59:48",FALSE,,1586145742971801600,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aura9953",48,TRUE,FALSE,127.454386811496,37.8963927387949,"before"
"RT @ZER0XBLACK: @BTS_twt Love Your W 2022 Red Carpet &amp; Mini Interview by W Korea 기사 사진 (5)
#BTS #방탄소년단 @BTS_twt https://t.co/svIMhJNzEB",FALSE,0,"","2022-10-28 23:59:46",FALSE,,1586145732301492224,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jhsrespect",3920,TRUE,FALSE,127.639560233054,37.5775445016524,"before"
"RT @v_hotrends: #V_ChristmasTree remains in Top 100 Spotify South Korea daily chart for 4 days in a row at #73 (+5)

I vote V aka Kim Taehy…",FALSE,0,"","2022-10-28 23:59:45",FALSE,,1586145730418577408,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TravelwithThv_",30,TRUE,FALSE,126.667252403332,37.0004549357108,"before"
