"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @elmfungus: Small Disaster Twins comic I made, totally not inspired by real events with me and an irl

#RiseoftheTMNT #rottmnt #Riseofth…",FALSE,0,,2022-11-05 06:18:23,FALSE,,"1588777728232550403",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AsiaDaWumbo",573,TRUE,FALSE,,
"RT @theGEF: Biodiversity provides us with services such as #climate regulation, pollination, disaster protection, &amp; nutrient cycling 🐝🌪️♻️…",FALSE,0,,2022-11-05 06:18:22,FALSE,,"1588777725174710272",,"<a href=""https://www.phosphoria.com"" rel=""nofollow"">phos-tweet1</a>","phosphoria31",6,TRUE,FALSE,,
"RT @ursHemanthRKO: 2022 Disaster talk films shares :-

#SarkaruVaariPaata - 120C (Single Language)

#RadheShyam - 80C (5 Languages)

#Achar…",FALSE,0,,2022-11-05 06:18:20,FALSE,,"1588777717235056642",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IamanMCA",3,TRUE,FALSE,,
"RT @koryodynasty: Today at the Itaewon disaster altar in Seoul Plaza, a woman who identified as the mother of one of the victims threw the…",FALSE,0,,2022-11-05 06:18:17,FALSE,,"1588777705939832832",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jzzfaiz",8164,TRUE,FALSE,,
"RT @allkpop: Boy group #ATEEZ donates 100 million KRW to the Korea Disaster Relief Association to support recovery after Itaewon tragedy
ht…",FALSE,0,,2022-11-05 06:18:10,FALSE,,"1588777676512186369",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","edeenary",2601,TRUE,FALSE,,
"RT @Maks_NAFO_FELLA: Any use of nuclear weapons by Russia will be catastrophic for Putin, the US Secretary of State said.

 ""Together with…",FALSE,0,,2022-11-05 06:18:09,FALSE,,"1588777672985182208",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","00FireflyGirl",6,TRUE,FALSE,,
"RT @shiningstarhwa_: ateez donated 100 million won to to support the itaewon incident to hope bridge korea disaster relief association.. th…",FALSE,0,,2022-11-05 06:18:09,FALSE,,"1588777669298393088",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tinycaptain_HJ",49,TRUE,FALSE,,
"RT @koryodynasty: Today at the Itaewon disaster altar in Seoul Plaza, a woman who identified as the mother of one of the victims threw the…",FALSE,0,,2022-11-05 06:18:07,FALSE,,"1588777661392121856",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sanniesworld21",8164,TRUE,FALSE,,
"RT @koryodynasty: Today at the Itaewon disaster altar in Seoul Plaza, a woman who identified as the mother of one of the victims threw the…",FALSE,0,,2022-11-05 06:18:04,FALSE,,"1588777648704360448",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Seheehee1105",8164,TRUE,FALSE,,
"RT @PowerUSAID: Today @NASA and @USAID deepened our partnership on using the world's most advanced research and technology to support devel…",FALSE,0,,2022-11-05 06:18:01,FALSE,,"1588777636658302979",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BishwaTiwari",46,TRUE,FALSE,,
"RT @koryodynasty: Today at the Itaewon disaster altar in Seoul Plaza, a woman who identified as the mother of one of the victims threw the…",FALSE,0,,2022-11-05 06:17:59,FALSE,,"1588777630874349569",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","irsyadibrahimm",8164,TRUE,FALSE,,
"@CharlieCrist Nobody is buying your schtick…..your party is the party of misinformation, economic disaster, illegal… https://t.co/CeP5dG2wIG",FALSE,0,"CharlieCrist",2022-11-05 06:17:59,TRUE,"1587980128361091073","1588777629863145472","38970940","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WaldoTames",0,FALSE,FALSE,,
"RT @txtpsh: #ATEEZ donated 100 million won (article stated that they donated from their concert profit) to support the Itaewon accident to…",FALSE,0,,2022-11-05 06:17:58,FALSE,,"1588777623882465280",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mend_mor",721,TRUE,FALSE,,
"RT @1024updates: [📋] ATEEZ donated 100 million won to the Hope Bridge National Disaster Relief Association following the Itaewon tragedy.…",FALSE,0,,2022-11-05 06:17:58,FALSE,,"1588777623509159936",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","emiamortae",3382,TRUE,FALSE,,
"He could’ve ended world hunger. Instead, “Researchers… found in the 12 hours immediately after ⁦@elonmusk⁩ took own… https://t.co/09zatYD6Mf",FALSE,0,,2022-11-05 06:17:58,TRUE,,"1588777623102128129",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JackieLittle",0,FALSE,FALSE,,
"i've  already  lost  all  my  believers.   believing  in  me  won't  do  you  any  good、  it  might  even  bring  disaster.",FALSE,0,,2022-11-05 06:17:57,FALSE,,"1588777619729698816",,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","concrto",0,FALSE,FALSE,,
"@W0yaanopxcked praying for a Piquass disaster class 🙏🏼🙏🏼🙏🏼",FALSE,0,"W0yaanopxcked",2022-11-05 06:17:56,FALSE,"1588776916940902400","1588777615049256960","1521598544393949184","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","da17fc",0,FALSE,FALSE,,
"RT @koryodynasty: Today at the Itaewon disaster altar in Seoul Plaza, a woman who identified as the mother of one of the victims threw the…",FALSE,0,,2022-11-05 06:17:55,FALSE,,"1588777614105546752",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narcloghost",8164,TRUE,FALSE,,
"RT @hwaupdates: ateez donated 100M won to the hope bridge korea disaster relief association in support of the itaewon tragedy. the donation…",FALSE,0,,2022-11-05 06:17:55,FALSE,,"1588777611991613442",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kayytiny",969,TRUE,FALSE,,
"RT @antonioguterres: Tsunamis are rare events but can be extremely deadly.

Science and international cooperation must be at the heart of o…",FALSE,0,,2022-11-05 06:17:53,FALSE,,"1588777604969922560",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BenjiSeitlhamo",83,TRUE,FALSE,,
"RT @koryodynasty: Today at the Itaewon disaster altar in Seoul Plaza, a woman who identified as the mother of one of the victims threw the…",FALSE,0,,2022-11-05 06:17:51,FALSE,,"1588777594144841728",,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","zhonglipotchi",8164,TRUE,FALSE,,
"RT @koryodynasty: Today at the Itaewon disaster altar in Seoul Plaza, a woman who identified as the mother of one of the victims threw the…",FALSE,0,,2022-11-05 06:17:40,FALSE,,"1588777550977069057",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","echohoka",8164,TRUE,FALSE,,
"RT @TudorDixon: Gretchen Whitmer told us Joe Biden was “proven.” They have both proven to be an utter disaster for our state and country. h…",FALSE,0,,2022-11-05 06:17:35,FALSE,,"1588777526629142528",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RSaunders967",1609,TRUE,FALSE,,
"RT @koryodynasty: Today at the Itaewon disaster altar in Seoul Plaza, a woman who identified as the mother of one of the victims threw the…",FALSE,0,,2022-11-05 06:17:34,FALSE,,"1588777523504386048",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","neilmoo",8164,TRUE,FALSE,,
