"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@elonmusk This comment from a guy who was selling FLAME THROWERS during California’s biggest wildfire season. 🤷‍♂️",FALSE,0,"elonmusk",2022-11-05 03:15:52,FALSE,"1587923502354472960","1588731799152517120","44196397","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stylee",0,FALSE,FALSE,,
"Google is expanding AI-powered flood and wildfire tracking to more countries https://t.co/tkV8ttRldO #android",FALSE,0,,2022-11-05 01:45:00,FALSE,,"1588708932394139649",,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Androidheadline",0,FALSE,FALSE,,
"Hot, dry, windy conditions &amp; ongoing drought are expected to create dangerous wildfire conditions for Malibu this f… https://t.co/BHapS8ebQ7",FALSE,0,,2022-11-05 00:01:09,TRUE,,"1588682796008185858",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MalibuEOC",0,FALSE,FALSE,,
"Hot, dry, windy conditions &amp; ongoing drought are expected to create dangerous wildfire conditions for Malibu this f… https://t.co/fVvqbfM1MI",FALSE,1,,2022-11-05 00:00:43,TRUE,,"1588682685068754945",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","CityMalibu",0,FALSE,FALSE,,
"@jeffroth77 I like this concept and wish California would follow the example

The current wildfire response is text… https://t.co/RuFDqBkdiP",FALSE,3,"jeffroth77",2022-11-04 23:43:51,TRUE,"1588670561420312576","1588678441851056130","1411112466659090440","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GalenDShaffer",0,FALSE,FALSE,,
"@ogunna Oooooo bro I’d love to hear you do a deep dive on that one of these days",FALSE,1,"ogunna",2022-11-04 23:35:20,FALSE,"1587859197609246723","1588676297722859520","38884707","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","will_wildfire",1,FALSE,FALSE,,
"Being asked if I’m anti-wildfire is such a wild concept, like there’s a secret faction of pro-wildfire Californians… https://t.co/9rFzCWZOAO",FALSE,1,,2022-11-04 22:29:57,TRUE,,"1588659845879975937",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","graciepalms",0,FALSE,FALSE,,
"What it feels like to visit a fusion company lab on a day when wildfire smoke cloaks the horizon https://t.co/RYuzJqbkrK",FALSE,0,,2022-11-04 21:27:12,FALSE,,"1588644053704376320",,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","_ReportWire",0,FALSE,FALSE,,
"Cool to decide between a computer hardware guy and a career politician for CA Insurance Commissioner 

Could we nor… https://t.co/7Ex0JmIXvA",FALSE,14,,2022-11-04 21:02:11,TRUE,,"1588637758998065154",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GalenDShaffer",0,FALSE,FALSE,,
"On Saturday, Nov. 12, pick up a free NOAA Radio at Malibu City Hall from 9 a.m. to 1 p.m. and be prepared for wildf… https://t.co/g0JQFG2ZCn",FALSE,1,,2022-11-04 20:55:40,TRUE,,"1588636117007728641",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheMalibuTimes",0,FALSE,FALSE,,
"#OnlyYou can prevent wildfires. Visit https://t.co/Bdq2rlZZ0r for wildfire prevention tips. #OnlyYou",FALSE,0,,2022-11-04 20:24:53,FALSE,,"1588628371298455552",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HolzingerNicol",0,FALSE,FALSE,,
"Via @GOVERNING: “One of the key points that we wanted to raise is that we really need to start tracking this,” said… https://t.co/GvRmMtPfs5",FALSE,1,,2022-11-04 19:33:59,TRUE,,"1588615561818542080",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","UCLASustainLA",0,FALSE,FALSE,,
